 ## Time[ps]  Epot[eV]  Etot[eV]  Ekin[eV]  <Edelta>  <Etot>  <T[K]>
         0.0250     -399.44989    -381.89313      17.55677        1.86023    -381.83635     953.99935
         0.0500     -396.62544    -382.22836      14.39708        1.85216    -382.06093     831.87372
         0.0750     -395.04622    -382.72469      12.32153        1.83460    -382.55009     674.71050
         0.1000     -396.01472    -382.52771      13.48702        1.83467    -382.54818     687.20308
         0.1250     -396.79841    -382.28645      14.51196        1.83783    -382.46006     739.98952
         0.1500     -396.33789    -382.15574      14.18215        1.84635    -382.22277     760.66759
         0.1750     -395.24636    -382.28525      12.96111        1.84490    -382.26314     700.62072
         0.2000     -395.31889    -382.17673      13.14216        1.84620    -382.22713     688.63550
         0.2250     -395.44629    -382.28346      13.16282        1.84562    -382.24329     685.79940
         0.2500     -396.25622    -382.38800      13.86821        1.84152    -382.35754     716.50797
         0.2750     -397.03865    -382.50338      14.53527        1.83799    -382.45571     747.94693
         0.3000     -398.21323    -382.59235      15.62088        1.83467    -382.54817     799.81684
         0.3250     -398.62726    -382.75925      15.86800        1.82922    -382.70011     834.18732
         0.3500     -397.83384    -382.91354      14.92030        1.82290    -382.87604     808.40041
         0.3750     -396.77539    -383.27953      13.49586        1.81545    -383.08351     740.21390
         0.4000     -396.30557    -383.16265      13.14292        1.80959    -383.24670     693.64421
         0.4250     -396.51354    -383.08733      13.42621        1.81497    -383.09683     700.39761
         0.4500     -396.30835    -383.21522      13.09313        1.81654    -383.05324     704.14462
         0.4750     -395.83788    -383.52994      12.30793        1.80502    -383.37409     665.73889
         0.5000     -395.55653    -383.73691      11.81962        1.79491    -383.65564     629.93683
         0.5250     -395.39665    -383.52568      11.87097        1.79402    -383.68031     620.57307
         0.5500     -395.51530    -383.38434      12.13096        1.80227    -383.45063     628.64876
         0.5750     -395.91937    -383.21002      12.70936        1.80974    -383.24250     660.67259
         0.6000     -395.40979    -383.03640      12.37339        1.81518    -383.09107     661.28522
         0.6250     -395.25751    -382.67396      12.58355        1.82425    -382.83833     651.33379
         0.6500     -396.24090    -382.54675      13.69415        1.83298    -382.59519     694.86798
         0.6750     -396.86123    -382.11128      14.74996        1.84314    -382.31232     755.68850
         0.7000     -397.09148    -382.00712      15.08436        1.85268    -382.04661     786.93531
         0.7250     -396.97371    -381.87309      15.10062        1.85696    -381.92740     795.94457
         0.7500     -396.90037    -381.38585      15.51453        1.86789    -381.62282     804.27540
         0.7750     -396.42716    -381.15561      15.27155        1.88311    -381.19912     814.35875
         0.8000     -395.96401    -381.12836      14.83565        1.88511    -381.14337     785.45403
         0.8250     -396.81246    -381.68601      15.12645        1.87121    -381.53049     783.91706
         0.8500     -396.70799    -381.80109      14.90691        1.86381    -381.73654     799.43156
         0.8750     -394.59394    -382.10638      12.48756        1.85468    -381.99086     710.37419
         0.9000     -394.14893    -382.24210      11.90683        1.84654    -382.21751     624.30748
         0.9250     -395.25176    -381.92575      13.32601        1.85493    -381.98400     675.19823
         0.9500     -395.91976    -381.65843      14.26132        1.86269    -381.76787     731.51918
         0.9750     -396.53182    -381.32334      15.20847        1.86993    -381.56619     776.60549
         1.0000     -395.68499    -381.19484      14.49016        1.88263    -381.21228     787.08227
         1.0250     -394.59745    -381.13668      13.46077        1.88434    -381.16465     725.74113
         1.0500     -394.03345    -381.11933      12.91412        1.88552    -381.13177     690.16091
         1.0750     -394.64893    -381.03920      13.60972        1.88778    -381.06888     692.85967
         1.1000     -395.96054    -381.02971      14.93083        1.88986    -381.01085     761.82168
